LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NY: ALBANY,01/01/2019 00:51:00,49.00,1775.00,1098.00,331.00,194.00,110.00,146.00,95.00,52.00,APPROVED
NY: ALBANY,01/01/2019 01:51:00,52.00,1870.00,1177.00,354.00,204.00,115.00,155.00,98.00,53.00,APPROVED
NY: ALBANY,01/01/2019 02:51:00,52.00,1849.00,1160.00,354.00,201.00,114.00,152.00,95.00,55.00,APPROVED
NY: ALBANY,01/01/2019 03:51:00,54.00,1813.00,1118.00,338.00,192.00,112.00,146.00,93.00,54.00,APPROVED
NY: ALBANY,01/01/2019 04:52:00,54.00,1799.00,1106.00,331.00,191.00,112.00,147.00,92.00,53.00,APPROVED
NY: ALBANY,01/01/2019 05:52:00,50.00,1718.00,1016.00,312.00,173.00,101.00,137.00,88.00,53.00,APPROVED
NY: ALBANY,01/01/2019 06:52:00,52.00,1698.00,994.00,307.00,170.00,101.00,134.00,88.00,52.00,APPROVED
NY: ALBANY,01/01/2019 07:52:00,45.00,1580.00,898.00,275.00,151.00,96.00,120.00,82.00,51.00,APPROVED
NY: ALBANY,01/01/2019 08:53:00,45.00,1538.00,865.00,267.00,145.00,91.00,116.00,78.00,47.00,APPROVED
NY: ALBANY,01/01/2019 09:53:00,43.00,1526.00,855.00,266.00,142.00,93.00,115.00,80.00,49.00,APPROVED
NY: ALBANY,01/01/2019 10:53:00,44.00,1541.00,860.00,263.00,143.00,92.00,118.00,77.00,51.00,APPROVED
NY: ALBANY,01/01/2019 11:53:00,46.00,1543.00,860.00,263.00,145.00,92.00,112.00,78.00,48.00,APPROVED
NY: ALBANY,01/01/2019 12:53:00,44.00,1590.00,908.00,279.00,151.00,95.00,121.00,78.00,51.00,APPROVED
NY: ALBANY,01/01/2019 13:54:00,47.00,1661.00,965.00,301.00,164.00,101.00,129.00,82.00,50.00,APPROVED
NY: ALBANY,01/01/2019 14:54:00,46.00,1610.00,933.00,281.00,155.00,96.00,123.00,82.00,51.00,APPROVED
NY: ALBANY,01/01/2019 15:54:00,45.00,1588.00,914.00,278.00,154.00,96.00,122.00,82.00,50.00,APPROVED
NY: ALBANY,01/01/2019 16:54:00,45.00,1573.00,899.00,273.00,150.00,94.00,116.00,82.00,51.00,APPROVED
NY: ALBANY,01/01/2019 17:55:00,42.00,1564.00,891.00,271.00,149.00,92.00,118.00,79.00,48.00,APPROVED
NY: ALBANY,01/01/2019 18:55:00,43.00,1564.00,887.00,272.00,150.00,91.00,120.00,80.00,49.00,APPROVED
NY: ALBANY,01/01/2019 19:55:00,44.00,1549.00,877.00,272.00,149.00,92.00,117.00,82.00,50.00,APPROVED
