LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NY: NEW YORK CITY,01/28/2019 15:52:00,97.00,2375.00,1322.00,393.00,199.00,133.00,150.00,85.00,40.00,APPROVED
NY: NEW YORK CITY,01/28/2019 16:52:00,98.00,2377.00,1325.00,389.00,203.00,137.00,149.00,82.00,41.00,APPROVED
NY: NEW YORK CITY,01/28/2019 17:53:00,102.00,2374.00,1328.00,388.00,203.00,133.00,152.00,86.00,40.00,APPROVED
NY: NEW YORK CITY,01/28/2019 18:53:00,93.00,2366.00,1323.00,393.00,201.00,137.00,150.00,82.00,41.00,APPROVED
NY: NEW YORK CITY,01/28/2019 19:53:00,95.00,2355.00,1332.00,394.00,207.00,136.00,148.00,86.00,41.00,APPROVED
NY: NEW YORK CITY,01/28/2019 20:53:00,92.00,2352.00,1336.00,390.00,209.00,137.00,149.00,90.00,42.00,APPROVED
NY: NEW YORK CITY,01/28/2019 21:54:00,92.00,2356.00,1321.00,391.00,203.00,133.00,146.00,87.00,41.00,APPROVED
NY: NEW YORK CITY,01/28/2019 22:54:00,96.00,2358.00,1330.00,390.00,204.00,134.00,149.00,86.00,41.00,APPROVED
NY: NEW YORK CITY,01/28/2019 23:54:00,95.00,2358.00,1312.00,390.00,202.00,136.00,152.00,82.00,42.00,APPROVED
NY: NEW YORK CITY,01/29/2019 00:54:00,91.00,2360.00,1320.00,388.00,201.00,136.00,148.00,81.00,41.00,APPROVED
NY: NEW YORK CITY,01/29/2019 01:54:00,91.00,2358.00,1320.00,391.00,198.00,132.00,151.00,84.00,42.00,APPROVED
NY: NEW YORK CITY,01/29/2019 02:55:00,93.00,2355.00,1310.00,390.00,201.00,136.00,151.00,82.00,40.00,APPROVED
NY: NEW YORK CITY,01/29/2019 03:55:00,91.00,2359.00,1310.00,392.00,203.00,136.00,151.00,82.00,43.00,APPROVED
NY: NEW YORK CITY,01/29/2019 04:55:00,93.00,2363.00,1317.00,392.00,200.00,133.00,150.00,85.00,42.00,APPROVED
NY: NEW YORK CITY,01/29/2019 05:55:00,95.00,2344.00,1315.00,395.00,199.00,132.00,153.00,83.00,41.00,APPROVED
NY: NEW YORK CITY,01/29/2019 06:56:00,96.00,2360.00,1318.00,392.00,202.00,135.00,151.00,82.00,41.00,APPROVED
NY: NEW YORK CITY,01/29/2019 07:56:00,97.00,2358.00,1315.00,395.00,204.00,135.00,149.00,83.00,42.00,APPROVED
NY: NEW YORK CITY,01/29/2019 08:56:00,94.00,2367.00,1316.00,391.00,199.00,136.00,153.00,84.00,42.00,APPROVED
NY: NEW YORK CITY,01/29/2019 09:56:00,96.00,2366.00,1317.00,396.00,203.00,138.00,151.00,84.00,42.00,APPROVED
NY: NEW YORK CITY,01/29/2019 10:56:00,97.00,2370.00,1331.00,395.00,200.00,137.00,151.00,84.00,41.00,APPROVED
NY: NEW YORK CITY,01/29/2019 11:57:00,96.00,2373.00,1330.00,395.00,202.00,132.00,152.00,85.00,41.00,APPROVED
NY: NEW YORK CITY,01/29/2019 12:57:00,97.00,2368.00,1335.00,388.00,204.00,133.00,151.00,85.00,41.00,APPROVED
NY: NEW YORK CITY,01/29/2019 13:57:00,96.00,2371.00,1336.00,391.00,206.00,137.00,150.00,88.00,41.00,APPROVED
NY: NEW YORK CITY,01/29/2019 14:57:00,94.00,2381.00,1332.00,393.00,204.00,138.00,147.00,90.00,43.00,APPROVED
NY: NEW YORK CITY,01/29/2019 15:58:00,97.00,2392.00,1345.00,398.00,210.00,136.00,147.00,89.00,43.00,APPROVED
NY: NEW YORK CITY,01/29/2019 16:58:00,95.00,2383.00,1364.00,399.00,213.00,140.00,147.00,93.00,43.00,APPROVED
NY: NEW YORK CITY,01/29/2019 17:58:00,95.00,2404.00,1378.00,403.00,219.00,140.00,148.00,96.00,44.00,APPROVED
NY: NEW YORK CITY,01/29/2019 18:58:00,95.00,2396.00,1364.00,393.00,218.00,139.00,147.00,98.00,42.00,APPROVED
NY: NEW YORK CITY,01/29/2019 19:58:00,92.00,2393.00,1374.00,403.00,222.00,138.00,149.00,99.00,41.00,APPROVED
NY: NEW YORK CITY,01/29/2019 20:59:00,94.00,2410.00,1381.00,401.00,223.00,142.00,149.00,97.00,41.00,APPROVED
NY: NEW YORK CITY,01/29/2019 21:59:00,98.00,2430.00,1398.00,404.00,226.00,143.00,153.00,100.00,44.00,APPROVED
NY: NEW YORK CITY,01/29/2019 22:59:00,100.00,2485.00,1455.00,421.00,237.00,146.00,158.00,102.00,44.00,APPROVED
NY: NEW YORK CITY,01/29/2019 23:59:00,101.00,2546.00,1512.00,439.00,246.00,149.00,167.00,104.00,45.00,APPROVED
NY: NEW YORK CITY,01/30/2019 01:00:00,103.00,2594.00,1542.00,440.00,255.00,153.00,168.00,105.00,45.00,APPROVED
NY: NEW YORK CITY,01/30/2019 02:00:00,100.00,2502.00,1478.00,430.00,241.00,148.00,162.00,102.00,45.00,APPROVED
NY: NEW YORK CITY,01/30/2019 03:00:00,99.00,2536.00,1494.00,435.00,245.00,147.00,166.00,104.00,45.00,APPROVED
NY: NEW YORK CITY,01/30/2019 04:00:00,101.00,2541.00,1499.00,444.00,238.00,148.00,169.00,102.00,45.00,APPROVED
NY: NEW YORK CITY,01/30/2019 05:00:00,99.00,2497.00,1449.00,424.00,226.00,144.00,161.00,97.00,44.00,APPROVED
NY: NEW YORK CITY,01/30/2019 06:01:00,93.00,2447.00,1395.00,406.00,216.00,142.00,152.00,95.00,44.00,APPROVED
NY: NEW YORK CITY,01/30/2019 07:01:00,95.00,2432.00,1366.00,404.00,211.00,142.00,152.00,92.00,41.00,APPROVED
NY: NEW YORK CITY,01/30/2019 08:01:00,97.00,2417.00,1358.00,396.00,207.00,138.00,151.00,86.00,42.00,APPROVED
NY: NEW YORK CITY,01/30/2019 09:01:00,94.00,2393.00,1338.00,397.00,201.00,136.00,152.00,84.00,43.00,APPROVED
NY: NEW YORK CITY,01/30/2019 10:02:00,97.00,2371.00,1320.00,400.00,196.00,135.00,155.00,78.00,42.00,APPROVED
NY: NEW YORK CITY,01/30/2019 11:02:00,95.00,2371.00,1316.00,392.00,196.00,135.00,156.00,77.00,43.00,APPROVED
NY: NEW YORK CITY,01/30/2019 12:02:00,98.00,2368.00,1319.00,392.00,195.00,135.00,160.00,76.00,43.00,APPROVED
NY: NEW YORK CITY,01/30/2019 13:02:00,97.00,2363.00,1324.00,393.00,195.00,134.00,158.00,74.00,42.00,APPROVED
NY: NEW YORK CITY,01/30/2019 14:03:00,100.00,2359.00,1314.00,388.00,198.00,135.00,155.00,76.00,41.00,APPROVED
NY: NEW YORK CITY,01/30/2019 15:03:00,97.00,2365.00,1310.00,389.00,195.00,135.00,155.00,80.00,42.00,APPROVED
