LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NY: ROCHESTER,01/01/2019 00:42:00,72.00,3340.00,1996.00,588.00,301.00,171.00,212.00,114.00,49.00,APPROVED
NY: ROCHESTER,01/01/2019 01:43:00,77.00,3426.00,2066.00,602.00,314.00,175.00,218.00,115.00,49.00,APPROVED
NY: ROCHESTER,01/01/2019 02:43:00,79.00,3483.00,2101.00,612.00,318.00,179.00,221.00,117.00,49.00,APPROVED
NY: ROCHESTER,01/01/2019 03:43:00,77.00,3386.00,2016.00,584.00,306.00,169.00,211.00,114.00,47.00,APPROVED
NY: ROCHESTER,01/01/2019 04:43:00,72.00,3166.00,1840.00,537.00,273.00,159.00,194.00,99.00,45.00,APPROVED
NY: ROCHESTER,01/01/2019 05:44:00,68.00,3102.00,1795.00,520.00,267.00,154.00,182.00,103.00,43.00,APPROVED
NY: ROCHESTER,01/01/2019 06:44:00,65.00,3108.00,1788.00,517.00,265.00,153.00,184.00,99.00,45.00,APPROVED
NY: ROCHESTER,01/01/2019 07:44:00,70.00,3183.00,1828.00,531.00,272.00,158.00,187.00,100.00,44.00,APPROVED
NY: ROCHESTER,01/01/2019 08:44:00,69.00,3169.00,1825.00,535.00,270.00,155.00,188.00,99.00,45.00,APPROVED
NY: ROCHESTER,01/01/2019 09:44:00,68.00,3192.00,1853.00,530.00,276.00,161.00,193.00,101.00,46.00,APPROVED
NY: ROCHESTER,01/01/2019 10:45:00,75.00,3294.00,1932.00,559.00,292.00,165.00,198.00,106.00,47.00,APPROVED
NY: ROCHESTER,01/01/2019 11:45:00,71.00,3176.00,1830.00,530.00,274.00,160.00,188.00,101.00,45.00,APPROVED
NY: ROCHESTER,01/01/2019 12:45:00,64.00,3118.00,1780.00,512.00,265.00,155.00,179.00,103.00,43.00,APPROVED
NY: ROCHESTER,01/01/2019 13:45:00,64.00,3083.00,1756.00,516.00,256.00,151.00,178.00,99.00,43.00,APPROVED
NY: ROCHESTER,01/01/2019 14:46:00,65.00,3062.00,1743.00,504.00,254.00,151.00,179.00,98.00,43.00,APPROVED
NY: ROCHESTER,01/01/2019 15:46:00,61.00,3051.00,1731.00,498.00,253.00,151.00,176.00,98.00,43.00,APPROVED
NY: ROCHESTER,01/01/2019 16:46:00,66.00,3035.00,1736.00,499.00,250.00,148.00,174.00,98.00,43.00,APPROVED
NY: ROCHESTER,01/01/2019 17:46:00,63.00,3036.00,1725.00,499.00,248.00,150.00,173.00,99.00,43.00,APPROVED
NY: ROCHESTER,01/01/2019 18:47:00,64.00,3034.00,1720.00,496.00,254.00,146.00,172.00,98.00,46.00,APPROVED
NY: ROCHESTER,01/01/2019 19:47:00,67.00,3026.00,1708.00,492.00,246.00,148.00,170.00,99.00,43.00,APPROVED
NY: ROCHESTER,01/01/2019 20:47:00,65.00,3033.00,1720.00,489.00,247.00,148.00,171.00,98.00,43.00,APPROVED
NY: ROCHESTER,01/01/2019 21:47:00,64.00,3004.00,1714.00,493.00,247.00,148.00,169.00,97.00,44.00,APPROVED
NY: ROCHESTER,01/01/2019 22:47:00,65.00,3018.00,1703.00,487.00,244.00,146.00,171.00,95.00,43.00,APPROVED
NY: ROCHESTER,01/01/2019 23:48:00,62.00,3016.00,1689.00,493.00,246.00,144.00,169.00,98.00,44.00,APPROVED
NY: ROCHESTER,01/02/2019 00:48:00,62.00,3006.00,1705.00,493.00,242.00,147.00,170.00,95.00,43.00,APPROVED
NY: ROCHESTER,01/02/2019 01:48:00,62.00,3009.00,1690.00,482.00,244.00,146.00,167.00,96.00,42.00,APPROVED
NY: ROCHESTER,01/02/2019 02:48:00,63.00,2995.00,1688.00,486.00,241.00,147.00,167.00,94.00,43.00,APPROVED
NY: ROCHESTER,01/02/2019 03:49:00,63.00,3002.00,1674.00,484.00,241.00,146.00,166.00,96.00,42.00,APPROVED
NY: ROCHESTER,01/02/2019 04:49:00,62.00,3001.00,1695.00,483.00,246.00,148.00,163.00,94.00,42.00,APPROVED
NY: ROCHESTER,01/02/2019 05:49:00,62.00,2987.00,1683.00,480.00,238.00,143.00,163.00,95.00,41.00,APPROVED
NY: ROCHESTER,01/02/2019 06:49:00,62.00,2994.00,1671.00,483.00,237.00,143.00,163.00,96.00,43.00,APPROVED
NY: ROCHESTER,01/02/2019 07:49:00,62.00,2988.00,1662.00,486.00,239.00,145.00,166.00,93.00,43.00,APPROVED
NY: ROCHESTER,01/02/2019 08:50:00,62.00,2991.00,1672.00,486.00,234.00,143.00,168.00,95.00,43.00,APPROVED
NY: ROCHESTER,01/02/2019 09:50:00,64.00,2993.00,1673.00,483.00,239.00,145.00,163.00,96.00,42.00,APPROVED
