LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NY: SYRACUSE,01/01/2019 00:48:00,51.00,1577.00,905.00,253.00,144.00,79.00,111.00,78.00,36.00,APPROVED
NY: SYRACUSE,01/01/2019 01:48:00,55.00,1647.00,963.00,270.00,154.00,82.00,113.00,80.00,39.00,APPROVED
NY: SYRACUSE,01/01/2019 02:48:00,54.00,1538.00,860.00,248.00,139.00,79.00,105.00,75.00,39.00,APPROVED
NY: SYRACUSE,01/01/2019 03:49:00,49.00,1498.00,831.00,236.00,131.00,74.00,102.00,75.00,38.00,APPROVED
NY: SYRACUSE,01/01/2019 04:49:00,51.00,1489.00,824.00,235.00,130.00,74.00,100.00,72.00,38.00,APPROVED
NY: SYRACUSE,01/01/2019 05:49:00,50.00,1402.00,748.00,216.00,117.00,68.00,91.00,68.00,36.00,APPROVED
NY: SYRACUSE,01/01/2019 06:49:00,47.00,1332.00,686.00,207.00,101.00,63.00,89.00,65.00,32.00,APPROVED
NY: SYRACUSE,01/01/2019 07:50:00,46.00,1285.00,655.00,200.00,94.00,62.00,94.00,55.00,29.00,APPROVED
NY: SYRACUSE,01/01/2019 08:50:00,48.00,1322.00,667.00,205.00,96.00,64.00,94.00,58.00,30.00,APPROVED
NY: SYRACUSE,01/01/2019 09:50:00,47.00,1372.00,721.00,210.00,108.00,67.00,91.00,68.00,34.00,APPROVED
NY: SYRACUSE,01/01/2019 10:50:00,46.00,1416.00,760.00,216.00,116.00,68.00,91.00,70.00,37.00,APPROVED
NY: SYRACUSE,01/01/2019 11:50:00,51.00,1474.00,820.00,234.00,129.00,72.00,97.00,72.00,37.00,APPROVED
NY: SYRACUSE,01/01/2019 12:51:00,49.00,1442.00,790.00,227.00,125.00,72.00,98.00,74.00,34.00,APPROVED
NY: SYRACUSE,01/01/2019 13:51:00,48.00,1390.00,743.00,216.00,115.00,68.00,92.00,70.00,34.00,APPROVED
NY: SYRACUSE,01/01/2019 14:51:00,44.00,1357.00,711.00,207.00,108.00,66.00,90.00,69.00,32.00,APPROVED
NY: SYRACUSE,01/01/2019 15:51:00,44.00,1339.00,699.00,205.00,104.00,64.00,88.00,67.00,34.00,APPROVED
NY: SYRACUSE,01/01/2019 16:52:00,44.00,1331.00,695.00,202.00,106.00,66.00,87.00,67.00,32.00,APPROVED
NY: SYRACUSE,01/01/2019 17:52:00,44.00,1336.00,685.00,202.00,106.00,62.00,86.00,68.00,32.00,APPROVED
NY: SYRACUSE,01/01/2019 18:52:00,43.00,1325.00,686.00,198.00,104.00,65.00,88.00,68.00,32.00,APPROVED
NY: SYRACUSE,01/01/2019 19:52:00,44.00,1341.00,700.00,204.00,107.00,65.00,87.00,70.00,32.00,APPROVED
NY: SYRACUSE,01/01/2019 20:53:00,44.00,1339.00,695.00,204.00,108.00,64.00,87.00,66.00,31.00,APPROVED
NY: SYRACUSE,01/01/2019 21:53:00,43.00,1335.00,692.00,202.00,105.00,64.00,87.00,66.00,32.00,APPROVED
NY: SYRACUSE,01/01/2019 22:53:00,44.00,1321.00,681.00,200.00,103.00,64.00,88.00,67.00,32.00,APPROVED
NY: SYRACUSE,01/01/2019 23:53:00,43.00,1308.00,674.00,196.00,103.00,62.00,84.00,67.00,31.00,APPROVED
NY: SYRACUSE,01/02/2019 00:53:00,41.00,1295.00,671.00,194.00,101.00,64.00,85.00,65.00,31.00,APPROVED
NY: SYRACUSE,01/02/2019 01:54:00,44.00,1295.00,669.00,197.00,101.00,61.00,81.00,66.00,32.00,APPROVED
NY: SYRACUSE,01/02/2019 02:54:00,43.00,1300.00,668.00,196.00,100.00,63.00,82.00,68.00,30.00,APPROVED
NY: SYRACUSE,01/02/2019 03:54:00,42.00,1299.00,665.00,195.00,101.00,62.00,83.00,66.00,31.00,APPROVED
NY: SYRACUSE,01/02/2019 04:54:00,42.00,1287.00,653.00,193.00,96.00,62.00,84.00,64.00,31.00,APPROVED
NY: SYRACUSE,01/02/2019 05:55:00,44.00,1280.00,653.00,188.00,100.00,61.00,83.00,66.00,33.00,APPROVED
NY: SYRACUSE,01/02/2019 06:55:00,42.00,1280.00,648.00,191.00,97.00,62.00,83.00,64.00,31.00,APPROVED
NY: SYRACUSE,01/02/2019 07:55:00,43.00,1277.00,643.00,188.00,96.00,61.00,83.00,66.00,31.00,APPROVED
NY: SYRACUSE,01/02/2019 08:55:00,41.00,1275.00,650.00,190.00,96.00,60.00,79.00,64.00,31.00,APPROVED
NY: SYRACUSE,01/02/2019 09:55:00,44.00,1282.00,642.00,189.00,95.00,60.00,81.00,65.00,30.00,APPROVED
NY: SYRACUSE,01/02/2019 10:56:00,43.00,1272.00,642.00,186.00,97.00,59.00,80.00,64.00,29.00,APPROVED
NY: SYRACUSE,01/02/2019 11:56:00,41.00,1268.00,642.00,186.00,95.00,61.00,82.00,64.00,29.00,APPROVED
NY: SYRACUSE,01/02/2019 12:56:00,45.00,1272.00,641.00,187.00,97.00,60.00,81.00,65.00,32.00,APPROVED
NY: SYRACUSE,01/02/2019 13:56:00,42.00,1271.00,649.00,188.00,94.00,62.00,83.00,65.00,30.00,APPROVED
NY: SYRACUSE,01/02/2019 14:57:00,41.00,1272.00,641.00,191.00,96.00,62.00,82.00,66.00,31.00,APPROVED
NY: SYRACUSE,01/02/2019 15:57:00,43.00,1294.00,649.00,190.00,94.00,60.00,82.00,66.00,31.00,APPROVED
NY: SYRACUSE,01/02/2019 16:57:00,43.00,1291.00,652.00,191.00,98.00,60.00,81.00,65.00,31.00,APPROVED
NY: SYRACUSE,01/02/2019 17:57:00,43.00,1294.00,657.00,189.00,99.00,62.00,81.00,65.00,31.00,APPROVED
NY: SYRACUSE,01/02/2019 18:58:00,44.00,1296.00,663.00,191.00,101.00,62.00,82.00,66.00,32.00,APPROVED
NY: SYRACUSE,01/02/2019 19:58:00,43.00,1311.00,675.00,194.00,100.00,61.00,84.00,66.00,32.00,APPROVED
NY: SYRACUSE,01/02/2019 20:58:00,44.00,1304.00,676.00,192.00,102.00,62.00,84.00,67.00,32.00,APPROVED
NY: SYRACUSE,01/02/2019 21:58:00,43.00,1304.00,668.00,198.00,100.00,63.00,81.00,66.00,32.00,APPROVED
NY: SYRACUSE,01/02/2019 22:58:00,44.00,1327.00,680.00,202.00,102.00,63.00,86.00,65.00,33.00,APPROVED
NY: SYRACUSE,01/02/2019 23:59:00,44.00,1327.00,692.00,201.00,107.00,65.00,84.00,68.00,33.00,APPROVED
NY: SYRACUSE,01/03/2019 00:59:00,44.00,1338.00,696.00,205.00,109.00,65.00,87.00,69.00,33.00,APPROVED
NY: SYRACUSE,01/03/2019 01:59:00,45.00,1345.00,700.00,206.00,108.00,65.00,90.00,68.00,33.00,APPROVED
NY: SYRACUSE,01/03/2019 02:59:00,43.00,1355.00,712.00,207.00,110.00,67.00,88.00,68.00,35.00,APPROVED
NY: SYRACUSE,01/03/2019 04:00:00,44.00,1372.00,723.00,207.00,113.00,66.00,90.00,67.00,33.00,APPROVED
NY: SYRACUSE,01/03/2019 05:00:00,45.00,1379.00,741.00,212.00,116.00,67.00,92.00,70.00,35.00,APPROVED
NY: SYRACUSE,01/03/2019 06:00:00,46.00,1393.00,747.00,213.00,113.00,68.00,89.00,72.00,35.00,APPROVED
NY: SYRACUSE,01/03/2019 07:00:00,50.00,1528.00,863.00,245.00,139.00,77.00,105.00,75.00,36.00,APPROVED
NY: SYRACUSE,01/03/2019 08:00:00,58.00,1738.00,1017.00,296.00,167.00,90.00,127.00,85.00,39.00,APPROVED
NY: SYRACUSE,01/03/2019 09:01:00,51.00,1624.00,933.00,269.00,156.00,83.00,116.00,80.00,39.00,APPROVED
NY: SYRACUSE,01/03/2019 10:01:00,52.00,1547.00,861.00,246.00,142.00,78.00,108.00,78.00,37.00,APPROVED
NY: SYRACUSE,01/03/2019 11:01:00,49.00,1430.00,777.00,228.00,121.00,73.00,99.00,75.00,35.00,APPROVED
NY: SYRACUSE,01/03/2019 12:01:00,46.00,1347.00,707.00,211.00,109.00,65.00,92.00,69.00,32.00,APPROVED
NY: SYRACUSE,01/03/2019 13:02:00,45.00,1332.00,691.00,199.00,106.00,63.00,86.00,70.00,33.00,APPROVED
NY: SYRACUSE,01/03/2019 14:02:00,44.00,1342.00,701.00,201.00,106.00,63.00,88.00,69.00,33.00,APPROVED
NY: SYRACUSE,01/03/2019 15:02:00,45.00,1370.00,714.00,211.00,111.00,67.00,92.00,71.00,32.00,APPROVED
NY: SYRACUSE,01/03/2019 16:02:00,45.00,1367.00,727.00,209.00,112.00,67.00,94.00,69.00,32.00,APPROVED
NY: SYRACUSE,01/03/2019 17:02:00,44.00,1370.00,725.00,209.00,114.00,65.00,92.00,70.00,31.00,APPROVED
NY: SYRACUSE,01/03/2019 22:04:00,45.00,1356.00,716.00,210.00,111.00,67.00,91.00,69.00,32.00,APPROVED
NY: SYRACUSE,01/03/2019 23:04:00,44.00,1352.00,721.00,209.00,115.00,67.00,88.00,70.00,34.00,APPROVED
NY: SYRACUSE,01/04/2019 00:04:00,44.00,1353.00,714.00,213.00,111.00,67.00,89.00,70.00,32.00,APPROVED
NY: SYRACUSE,01/04/2019 01:04:00,42.00,1355.00,713.00,206.00,109.00,65.00,87.00,71.00,35.00,APPROVED
NY: SYRACUSE,01/04/2019 02:05:00,43.00,1358.00,718.00,206.00,113.00,67.00,91.00,68.00,34.00,APPROVED
NY: SYRACUSE,01/04/2019 03:05:00,43.00,1350.00,711.00,211.00,114.00,66.00,89.00,71.00,35.00,APPROVED
NY: SYRACUSE,01/04/2019 04:05:00,46.00,1351.00,707.00,206.00,109.00,65.00,90.00,70.00,35.00,APPROVED
NY: SYRACUSE,01/04/2019 05:05:00,43.00,1342.00,699.00,209.00,109.00,67.00,89.00,69.00,33.00,APPROVED
NY: SYRACUSE,01/04/2019 06:05:00,43.00,1337.00,707.00,204.00,108.00,66.00,88.00,68.00,33.00,APPROVED
NY: SYRACUSE,01/04/2019 07:06:00,45.00,1350.00,708.00,203.00,111.00,65.00,88.00,69.00,33.00,APPROVED
NY: SYRACUSE,01/04/2019 08:06:00,43.00,1349.00,713.00,206.00,111.00,65.00,90.00,68.00,34.00,APPROVED
NY: SYRACUSE,01/04/2019 09:06:00,43.00,1356.00,722.00,204.00,108.00,66.00,89.00,70.00,34.00,APPROVED
NY: SYRACUSE,01/04/2019 10:06:00,44.00,1353.00,715.00,209.00,113.00,66.00,89.00,68.00,34.00,APPROVED
NY: SYRACUSE,01/04/2019 11:07:00,45.00,1365.00,717.00,207.00,112.00,67.00,93.00,69.00,34.00,APPROVED
NY: SYRACUSE,01/04/2019 12:07:00,45.00,1363.00,721.00,210.00,109.00,65.00,91.00,69.00,33.00,APPROVED
NY: SYRACUSE,01/04/2019 13:07:00,46.00,1367.00,726.00,211.00,112.00,66.00,89.00,70.00,32.00,APPROVED
NY: SYRACUSE,01/04/2019 14:07:00,44.00,1371.00,726.00,210.00,113.00,67.00,91.00,70.00,34.00,APPROVED
NY: SYRACUSE,01/04/2019 15:08:00,45.00,1359.00,729.00,212.00,113.00,67.00,91.00,70.00,33.00,APPROVED
NY: SYRACUSE,01/04/2019 16:08:00,45.00,1372.00,729.00,210.00,115.00,69.00,89.00,70.00,34.00,APPROVED
NY: SYRACUSE,01/04/2019 17:08:00,47.00,1356.00,719.00,209.00,113.00,65.00,88.00,68.00,37.00,APPROVED
NY: SYRACUSE,01/04/2019 18:08:00,48.00,1354.00,715.00,205.00,112.00,67.00,90.00,66.00,36.00,APPROVED
NY: SYRACUSE,01/04/2019 19:08:00,46.00,1359.00,716.00,206.00,110.00,67.00,86.00,66.00,39.00,APPROVED
NY: SYRACUSE,01/04/2019 20:09:00,47.00,1348.00,716.00,205.00,110.00,65.00,84.00,64.00,40.00,APPROVED
NY: SYRACUSE,01/04/2019 21:09:00,45.00,1357.00,718.00,207.00,111.00,64.00,87.00,67.00,40.00,APPROVED
NY: SYRACUSE,01/04/2019 22:08:00,46.00,1369.00,719.00,210.00,110.00,65.00,87.00,66.00,39.00,APPROVED
NY: SYRACUSE,01/04/2019 23:16:00,48.00,1345.00,689.00,196.00,102.00,62.00,82.00,65.00,36.00,APPROVED
NY: SYRACUSE,01/05/2019 00:17:00,47.00,1364.00,707.00,203.00,106.00,65.00,86.00,65.00,37.00,APPROVED
NY: SYRACUSE,01/05/2019 01:17:00,46.00,1361.00,715.00,201.00,109.00,64.00,87.00,66.00,36.00,APPROVED
NY: SYRACUSE,01/05/2019 02:17:00,46.00,1368.00,713.00,203.00,111.00,66.00,88.00,67.00,36.00,APPROVED
NY: SYRACUSE,01/05/2019 03:17:00,45.00,1350.00,708.00,208.00,110.00,66.00,89.00,67.00,38.00,APPROVED
NY: SYRACUSE,01/05/2019 04:18:00,47.00,1351.00,711.00,206.00,108.00,66.00,87.00,66.00,37.00,APPROVED
NY: SYRACUSE,01/05/2019 05:18:00,45.00,1343.00,700.00,204.00,109.00,66.00,87.00,66.00,36.00,APPROVED
NY: SYRACUSE,01/05/2019 06:18:00,46.00,1359.00,707.00,204.00,109.00,64.00,88.00,66.00,36.00,APPROVED
NY: SYRACUSE,01/05/2019 07:18:00,47.00,1368.00,724.00,208.00,112.00,65.00,89.00,67.00,35.00,APPROVED
NY: SYRACUSE,01/05/2019 08:18:00,47.00,1376.00,735.00,210.00,110.00,67.00,93.00,68.00,35.00,APPROVED
NY: SYRACUSE,01/05/2019 09:19:00,48.00,1385.00,740.00,213.00,116.00,69.00,92.00,71.00,36.00,APPROVED
NY: SYRACUSE,01/05/2019 10:19:00,47.00,1413.00,769.00,223.00,122.00,73.00,96.00,70.00,36.00,APPROVED
NY: SYRACUSE,01/05/2019 11:19:00,48.00,1429.00,795.00,227.00,125.00,72.00,97.00,73.00,36.00,APPROVED
NY: SYRACUSE,01/05/2019 12:19:00,50.00,1446.00,796.00,229.00,128.00,71.00,98.00,74.00,39.00,APPROVED
NY: SYRACUSE,01/05/2019 13:20:00,48.00,1453.00,800.00,228.00,129.00,74.00,100.00,73.00,36.00,APPROVED
NY: SYRACUSE,01/05/2019 14:20:00,50.00,1469.00,832.00,237.00,131.00,76.00,102.00,76.00,37.00,APPROVED
NY: SYRACUSE,01/05/2019 15:20:00,50.00,1480.00,832.00,238.00,133.00,76.00,104.00,75.00,38.00,APPROVED
NY: SYRACUSE,01/05/2019 16:20:00,49.00,1434.00,776.00,225.00,126.00,71.00,97.00,73.00,37.00,APPROVED
NY: SYRACUSE,01/05/2019 17:20:00,49.00,1417.00,765.00,222.00,121.00,71.00,95.00,70.00,36.00,APPROVED
NY: SYRACUSE,01/05/2019 18:21:00,48.00,1391.00,747.00,217.00,117.00,69.00,94.00,71.00,36.00,APPROVED
NY: SYRACUSE,01/05/2019 19:21:00,48.00,1375.00,733.00,216.00,112.00,67.00,90.00,71.00,36.00,APPROVED
NY: SYRACUSE,01/05/2019 20:21:00,48.00,1379.00,741.00,210.00,115.00,68.00,89.00,70.00,36.00,APPROVED
